B;101;1053981;8;20010719 12:37;;;21;ALLISON AVE;EAST NOWRA;2541;663.9;M;20010306;20010329;110000;A;3;NULL;;GV;;;7524017;
B;101;1065695;83;20010719 12:37;;;25;ELDER CRES;EAST NOWRA;2541;746.1;M;20010220;20010327;112000;A;R;;;GL;;;7512220;
B;101;1065766;84;20010719 12:37;;;9;ELIZABETH AVE;EAST NOWRA;2541;739.8;M;20010321;20010321;0;A;3;NULL;;GK;;;7538150;
B;101;1074950;148;20010719 12:37;;;29;JOURNAL ST;EAST NOWRA;2541;1012;M;20010214;20010406;110500;A;V;;;GK;;;7551749;
B;101;1077023;157;20010719 12:37;;;16;KNAPP AVE;EAST NOWRA;2541;543.8;M;20010305;20010403;83000;A;R;;;GD;;;7529973;
B;101;1080178;179;20010719 12:37;;;2;MCKAY ST;EAST NOWRA;2541;575.4;M;20010326;20010409;70000;A;R;;;GJ;;;7547537;
B;101;1086972;217;20010719 12:37;;;45;PARK RD;EAST NOWRA;2541;1014;M;20010213;20010327;140000;A;R;;;GG;;;7551279;
B;101;1087746;219;20010719 12:37;;;11;PEPPERMINT DR;EAST NOWRA;2541;713.5;M;20010201;20010316;138000;A;R;;;GA;;;7546723;
B;101;1091035;235;20010719 12:37;;;;RAYLEIGH DR;EAST NOWRA;2541;853;M;20010228;20010404;199000;A;R;;;GA;;;7555323;
B;101;1092695;249;20010719 12:37;;;;ST ANN'S ST;EAST NOWRA;2541;1271;M;20010402;20010402;0;A;R;;;GK;;;7547369;
B;101;1093120;253;20010719 12:37;;;62;SALISBURY DR;EAST NOWRA;2541;638.6;M;20010227;20010321;99000;A;R;;;GV;;;7525701;
B;101;1093163;254;20010719 12:37;;;9;SALISBURY DR;EAST NOWRA;2541;720.8;M;20010313;20010406;104500;A;R;;;GV;;;7553374;
B;101;1094736;265;20010719 12:37;;1;1 A;SHORLAND PL;EAST NOWRA;2541;;;20010409;20010409;33000;;3;Other;1;;;;7533871;
B;101;1094736;266;20010719 12:37;;3;1 A;SHORLAND PL;EAST NOWRA;2541;;;20010214;20010404;33000;;R;;3;;;;7546320;
B;101;1100744;300;20010719 12:37;;;9;VENDETTA ST;EAST NOWRA;2541;588.1;M;20010201;20010308;63000;A;R;;;GJ;;;7510569;
B;101;1105243;326;20010719 12:37;;;19;YOUNG AVE;EAST NOWRA;2541;543.8;M;20000125;20000125;0;A;R;;;GD;;;7537066;
